Date,Price,Open,High,Low,Vol.,Change %
04/09/2024,0.9209,0.9209,0.9219,0.9186,,0.02%
04/08/2024,0.9207,0.9222,0.9242,0.9205,,-0.21%
04/05/2024,0.9226,0.9229,0.9267,0.9218,,0.00%
04/04/2024,0.9226,0.9231,0.9233,0.9194,,-0.02%
04/03/2024,0.9228,0.9283,0.9291,0.9227,,-0.60%
04/02/2024,0.9284,0.9308,0.9325,0.9277,,-0.26%
04/01/2024,0.9308,0.9269,0.9319,0.9259,,0.47%
03/29/2024,0.9264,0.9268,0.9288,0.9254,,-0.03%
03/28/2024,0.9267,0.9236,0.9281,0.9235,,0.36%
03/27/2024,0.9234,0.9233,0.9251,0.9226,,0.04%
03/26/2024,0.9230,0.9227,0.9239,0.9204,,0.04%
03/25/2024,0.9226,0.9252,0.9258,0.9222,,-0.28%
03/22/2024,0.9252,0.9208,0.9258,0.9201,,0.49%
03/21/2024,0.9207,0.9158,0.9212,0.9138,,0.56%
03/20/2024,0.9156,0.9204,0.9229,0.9154,,-0.50%
03/19/2024,0.9202,0.9197,0.9230,0.9194,,0.08%
03/18/2024,0.9195,0.9180,0.9204,0.9169,,0.14%
03/15/2024,0.9182,0.9189,0.9197,0.9174,,-0.05%
03/14/2024,0.9187,0.9135,0.9191,0.9128,,0.59%
03/13/2024,0.9133,0.9151,0.9158,0.9121,,-0.20%
03/12/2024,0.9151,0.9154,0.9173,0.9137,,-0.01%
03/11/2024,0.9152,0.9137,0.9162,0.9133,,0.13%
03/08/2024,0.9140,0.9134,0.9158,0.9106,,0.09%
03/07/2024,0.9132,0.9177,0.9201,0.9133,,-0.45%
03/06/2024,0.9173,0.9209,0.9224,0.9161,,-0.39%
03/05/2024,0.9209,0.9212,0.9225,0.9194,,-0.01%
03/04/2024,0.9210,0.9223,0.9227,0.9201,,-0.15%
03/01/2024,0.9224,0.9257,0.9262,0.9222,,-0.31%
02/29/2024,0.9253,0.9229,0.9263,0.9211,,0.30%
02/28/2024,0.9225,0.9222,0.9263,0.9219,,0.08%
02/27/2024,0.9218,0.9218,0.9232,0.9202,,0.04%
02/26/2024,0.9214,0.9237,0.9248,0.9208,,-0.28%
02/23/2024,0.9240,0.9238,0.9250,0.9225,,0.04%
02/22/2024,0.9236,0.9245,0.9258,0.9183,,-0.05%
02/21/2024,0.9241,0.9254,0.9269,0.9238,,-0.13%
02/20/2024,0.9253,0.9277,0.9293,0.9226,,-0.25%
02/19/2024,0.9276,0.9280,0.9293,0.9268,,-0.02%
02/16/2024,0.9278,0.9285,0.9319,0.9269,,-0.03%
02/15/2024,0.9281,0.9323,0.9324,0.9272,,-0.43%
02/14/2024,0.9321,0.9337,0.9351,0.9315,,-0.16%
02/13/2024,0.9336,0.9284,0.9346,0.9263,,0.58%
02/12/2024,0.9282,0.9276,0.9298,0.9254,,0.12%
02/09/2024,0.9271,0.9277,0.9293,0.9263,,-0.05%
02/08/2024,0.9276,0.9283,0.9310,0.9269,,-0.05%
02/07/2024,0.9281,0.9298,0.9300,0.9273,,-0.18%
02/06/2024,0.9298,0.9309,0.9326,0.9291,,-0.10%
02/05/2024,0.9307,0.9273,0.9326,0.9270,,0.40%
02/02/2024,0.9270,0.9198,0.9276,0.9176,,0.80%
02/01/2024,0.9196,0.9247,0.9277,0.9194,,-0.50%
01/31/2024,0.9242,0.9221,0.9264,0.9184,,0.26%
01/30/2024,0.9218,0.9231,0.9250,0.9210,,-0.12%
01/29/2024,0.9229,0.9219,0.9263,0.9213,,0.20%
01/26/2024,0.9211,0.9222,0.9248,0.9186,,-0.09%
01/25/2024,0.9219,0.9187,0.9241,0.9172,,0.37%
01/24/2024,0.9185,0.9212,0.9221,0.9147,,-0.34%
01/23/2024,0.9216,0.9189,0.9241,0.9161,,0.32%
01/22/2024,0.9187,0.9182,0.9191,0.9165,,0.13%
01/19/2024,0.9175,0.9195,0.9204,0.9176,,-0.20%
01/18/2024,0.9193,0.9190,0.9220,0.9168,,0.07%
01/17/2024,0.9187,0.9197,0.9222,0.9186,,-0.07%
01/16/2024,0.9193,0.9133,0.9207,0.9131,,0.68%
01/15/2024,0.9131,0.9129,0.9147,0.9117,,0.01%
01/12/2024,0.9130,0.9113,0.9145,0.9101,,0.20%
01/11/2024,0.9112,0.9114,0.9150,0.9098,,0.00%
01/10/2024,0.9112,0.9147,0.9155,0.9113,,-0.38%
01/09/2024,0.9147,0.9130,0.9166,0.9118,,0.19%
01/08/2024,0.9130,0.9136,0.9155,0.9108,,-0.09%
01/05/2024,0.9138,0.9135,0.9194,0.9092,,0.03%
01/04/2024,0.9135,0.9157,0.9161,0.9113,,-0.23%
01/03/2024,0.9156,0.9133,0.9180,0.9119,,0.21%
01/02/2024,0.9137,0.9054,0.9143,0.9053,,0.93%
01/01/2024,0.9053,0.9054,0.9061,0.9052,,-0.08%
12/29/2023,0.9060,0.9041,0.9064,0.9021,,0.23%
12/28/2023,0.9039,0.9003,0.9046,0.8976,,0.40%
12/27/2023,0.9003,0.9056,0.9068,0.8990,,-0.55%
12/26/2023,0.9053,0.9082,0.9084,0.9054,,-0.32%
12/25/2023,0.9082,0.9077,0.9097,0.9072,,0.03%
12/22/2023,0.9079,0.9082,0.9097,0.9057,,-0.02%
12/21/2023,0.9081,0.9140,0.9146,0.9080,,-0.63%
12/20/2023,0.9139,0.9107,0.9150,0.9103,,0.38%
12/19/2023,0.9104,0.9154,0.9162,0.9101,,-0.52%
12/18/2023,0.9152,0.9172,0.9182,0.9148,,-0.27%
12/15/2023,0.9177,0.9096,0.9184,0.9087,,0.90%
12/14/2023,0.9095,0.9197,0.9198,0.9083,,-1.08%
12/13/2023,0.9194,0.9265,0.9283,0.9176,,-0.74%
12/12/2023,0.9263,0.9291,0.9295,0.9234,,-0.27%
12/11/2023,0.9288,0.9292,0.9310,0.9277,,-0.01%
12/08/2023,0.9289,0.9263,0.9326,0.9258,,0.28%
12/07/2023,0.9263,0.9286,0.9298,0.9244,,-0.28%
12/06/2023,0.9289,0.9263,0.9295,0.9255,,0.31%
12/05/2023,0.9260,0.9229,0.9279,0.9218,,0.35%
12/04/2023,0.9228,0.9186,0.9257,0.9178,,0.44%
12/01/2023,0.9188,0.9184,0.9235,0.9163,,0.04%
11/30/2023,0.9184,0.9115,0.9193,0.9103,,0.77%
11/29/2023,0.9114,0.9097,0.9125,0.9076,,0.20%
11/28/2023,0.9096,0.9129,0.9146,0.9083,,-0.35%
11/27/2023,0.9128,0.9143,0.9154,0.9125,,-0.11%
11/24/2023,0.9138,0.9170,0.9179,0.9133,,-0.33%
11/23/2023,0.9168,0.9184,0.9188,0.9148,,-0.15%
11/22/2023,0.9182,0.9165,0.9215,0.9154,,0.21%
11/21/2023,0.9163,0.9140,0.9175,0.9119,,0.26%
11/20/2023,0.9139,0.9164,0.9177,0.9130,,-0.28%
11/17/2023,0.9165,0.9215,0.9238,0.9160,,-0.52%
11/16/2023,0.9213,0.9219,0.9234,0.9178,,-0.04%
11/15/2023,0.9217,0.9192,0.9233,0.9186,,0.28%
11/14/2023,0.9191,0.9347,0.9353,0.9184,,-1.66%
11/13/2023,0.9346,0.9360,0.9377,0.9340,,-0.14%
11/10/2023,0.9359,0.9374,0.9385,0.9352,,-0.14%
11/09/2023,0.9372,0.9340,0.9381,0.9323,,0.35%
11/08/2023,0.9339,0.9347,0.9382,0.9331,,-0.06%
11/07/2023,0.9345,0.9331,0.9377,0.9325,,0.16%
11/06/2023,0.9330,0.9320,0.9332,0.9296,,0.14%
11/03/2023,0.9317,0.9413,0.9421,0.9305,,-1.02%
